Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,99.41437539,99.73210371,100.446527,99.9831359,100.3120836,99.57190188,99.5723373,99.70666307,100.1521827,100.1714015,101.6752066,100.9817086,99.98032957,99.4675194,101.8526878,99.71262526,101.0273036
2,98.82875078,99.46420743,100.893054,99.9662718,100.6241672,99.14380375,99.14467459,99.41332613,100.3043654,100.3428029,103.3504133,101.9634172,99.96065915,98.9350388,103.7053756,99.42525051,102.0546072
3,98.24312618,99.19631114,101.339581,99.9494077,100.9362508,98.71570563,98.71701189,99.1199892,100.4565481,100.5142044,105.0256199,102.9451258,99.94098872,98.4025582,105.5580634,99.13787577,103.0819107
4,97.65750157,98.92841485,101.786108,99.93254361,101.2483344,98.2876075,98.28934919,98.82665226,100.6087308,100.6856058,106.7008266,103.9268344,99.9213183,97.8700776,107.4107512,98.85050102,104.1092143
5,97.07187696,98.66051856,102.232635,99.91567951,101.560418,97.85950938,97.86168648,98.53331533,100.7609135,100.8570073,108.3760332,104.908543,99.90164787,97.337597,109.263439,98.56312628,105.1365179
6,98.42181781,96.19812068,102.1016218,99.95668473,101.6182293,99.38655048,96.27585017,100.1951313,100.7951155,101.5268058,108.5726057,104.7104628,101.3236053,98.13464348,110.687236,98.68899777,103.9624808
7,99.77175867,93.73572279,101.9706085,99.99768994,101.6760406,100.9135916,94.69001386,101.8569473,100.8293174,102.1966044,108.7691782,104.5123827,102.7455626,98.93168996,112.1110331,98.81486926,102.7884438
8,101.1216995,91.27332491,101.8395953,100.0386952,101.7338519,102.4406327,93.10417755,103.5187633,100.8635194,102.8664029,108.9657507,104.3143025,104.16752,99.72873644,113.5348301,98.94074075,101.6144067
9,102.4716404,88.81092702,101.708582,100.0797004,101.7916632,103.9676738,91.51834124,105.1805793,100.8977214,103.5362015,109.1623232,104.1162223,105.5894774,100.5257829,114.9586271,99.06661224,100.4403697
10,99.14628154,89.68330858,101.943885,91.84798147,96.27330447,103.0000037,89.1433254,105.521606,99.49782974,100.0525528,104.0948495,100.8070157,99.65862048,94.16116055,100.9079497,90.63002682,96.54739266
11,95.8209227,90.55569013,102.179188,83.61626255,90.7549457,102.0323337,86.76830957,105.8626326,98.09793812,96.5689041,99.02737583,97.49780903,93.72776356,87.79653818,86.85727226,82.19344139,92.65441565
12,92.49556387,91.42807169,102.4144909,75.38454364,85.23658692,101.0646636,84.39329374,106.2036592,96.6980465,93.08525542,93.95990213,94.18860241,87.79690665,81.43191581,72.80659482,73.75685597,88.76143865
13,89.17020503,92.30045324,102.6497939,67.15282472,79.71822815,100.0969936,82.01827791,106.5446859,95.29815488,89.60160674,88.89242843,90.87939579,81.86604973,75.06729344,58.75591738,65.32027054,84.86846165
14,90.00613617,86.68109251,101.7167867,60.73714858,72.96974672,98.05151058,79.07656057,104.1515861,90.87805606,82.0655433,84.11255786,89.78130938,77.31176891,69.49759998,51.18425941,58.10769011,82.07170718
15,90.84206731,81.06173177,100.7837795,54.32147243,66.22126529,96.00602758,76.13484323,101.7584863,86.45795724,74.52947987,79.33268729,88.68322297,72.75748808,63.92790652,43.61260144,50.89510968,79.27495271
16,91.67799844,75.44237104,99.85077228,47.90579629,59.47278386,93.96054459,73.19312589,99.36538647,82.03785843,66.99341643,74.55281672,87.58513655,68.20320726,58.35821305,36.04094347,43.68252924,76.47819824
17,92.51392958,69.82301031,98.91776508,41.49012014,52.72430243,91.9150616,70.25140855,96.97228667,77.61775961,59.457353,69.77294616,86.48705014,63.64892643,52.78851959,28.4692855,36.46994881,73.68144377
18,93.34986072,64.20364957,97.98475787,35.074444,45.975821,89.8695786,67.30969121,94.57918687,73.19766079,51.92128956,64.99307559,85.38896373,59.09464561,47.21882612,20.89762753,29.25736837,70.88468931
19,94.12547897,66.25259727,97.9397874,43.2614119,53.54785709,88.43770031,63.15560172,95.25916023,74.95546059,56.69058288,71.13266703,87.46753144,65.74241768,54.33334394,31.20552973,33.6357603,72.69941033
20,94.90109722,68.30154496,97.89481694,51.4483798,61.11989319,87.00582202,59.00151223,95.93913358,76.71326038,61.45987619,77.27225847,89.54609915,72.39018976,61.44786175,41.51343192,38.01415222,74.51413136
21,95.67671547,70.35049266,97.84984647,59.6353477,68.69192929,85.57394373,54.84742274,96.61910693,78.47106018,66.22916951,83.41184991,91.62466686,79.03796183,68.56237957,51.82133412,42.39254415,76.32885238
22,96.45233372,72.39944035,97.804876,67.82231559,76.26396539,84.14206544,50.69333325,97.29908028,80.22885998,70.99846282,89.55144135,93.70323457,85.6857339,75.67689738,62.12923632,46.77093607,78.1435734
23,96.68090321,79.55496001,97.68088768,67.9581681,78.51614711,83.78474473,50.57986176,95.36707134,83.56394243,75.23067155,89.701648,96.29141048,86.65996518,78.12415975,63.25946504,55.16166955,80.47795204
24,96.90947271,86.71047966,97.55689936,68.09402061,80.76832883,83.42742401,50.46639028,93.43506241,86.89902489,79.46288027,89.85185465,98.87958639,87.63419645,80.57142211,64.38969376,63.55240302,82.81233068
25,97.1380422,93.86599932,97.43291105,68.22987312,83.02051056,83.0701033,50.35291879,91.50305347,90.23410734,83.695089,90.0020613,101.4677623,88.60842773,83.01868448,65.51992248,71.9431365,85.14670931
26,97.3666117,101.021519,97.30892273,68.36572563,85.27269228,82.71278258,50.23944731,89.57104454,93.5691898,87.92729773,90.15226795,104.0559382,89.58265901,85.46594684,66.65015121,80.33386997,87.48108795
27,97.2285216,100.8679701,97.93644961,68.44494242,86.04693209,83.5411021,52.65290846,91.13084709,94.3890581,90.25843779,91.22661517,103.8175687,90.96583791,85.92439868,73.72393771,80.37363431,89.56182219
28,97.09043151,100.7144212,98.56397648,68.52415921,86.82117189,84.36942162,55.06636962,92.69064964,95.2089264,92.58957785,92.30096239,103.5791992,92.34901682,86.38285051,80.79772421,80.41339865,91.64255643
29,96.95234141,100.5608724,99.19150336,68.603376,87.59541169,85.19774114,57.47983077,94.25045219,96.0287947,94.92071791,93.37530961,103.3408297,93.73219573,86.84130235,87.87151072,80.45316298,93.72329067
30,96.81425132,100.4073235,99.81903024,68.68259279,88.36965149,86.02606067,59.89329193,95.81025474,96.84866301,97.25185797,94.44965683,103.1024602,95.11537463,87.29975419,94.94529722,80.49292732,95.80402492
31,96.67616122,100.2537746,100.4465571,68.76180958,89.14389129,86.85438019,62.30675308,97.37005729,97.66853131,99.58299803,95.52400405,102.8640907,96.49855354,87.75820602,102.0190837,80.53269166,97.88475916
32,97.98356482,102.2342929,100.8623698,73.82574986,91.13074307,88.08526242,61.78911309,96.20795149,98.54829365,100.9939564,99.92966436,102.9540083,97.79997141,89.66493419,103.1863944,84.36555321,102.8652234
33,99.29096843,104.2148112,101.2781825,78.88969013,93.11759485,89.31614466,61.27147311,95.0458457,99.42805598,102.4049147,104.3353247,103.0439259,99.10138928,91.57166236,104.3537051,88.19841476,107.8456876
34,100.598372,106.1953295,101.6939952,83.95363041,95.10444664,90.54702689,60.75383312,93.8837399,100.3078183,103.815873,108.740985,103.1338434,100.4028072,93.47839052,105.5210158,92.03127631,112.8261519
35,101.9057756,108.1758478,102.109808,89.01757068,97.09129842,91.77790913,60.23619314,92.72163411,101.1875807,105.2268313,113.1466453,103.223761,101.704225,95.38511869,106.6883265,95.86413786,117.8066161
36,101.2341393,109.7507872,101.5631638,89.04570541,97.0842016,90.83035418,60.46606346,94.70145209,100.6364635,104.8103562,113.7488133,102.7698162,101.9923905,95.47739731,107.4401413,94.98321397,114.444645
37,100.562503,111.3257266,101.0165197,89.07384014,97.07710479,89.88279923,60.69593378,96.68127007,100.0853464,104.3938812,114.3509814,102.3158714,102.2805559,95.56967594,108.1919562,94.10229008,111.0826739
38,99.89086671,112.9006659,100.4698756,89.10197486,97.07000797,88.93524428,60.9258041,98.66108805,99.53422926,103.9774061,114.9531494,101.8619267,102.5687213,95.66195456,108.943771,93.22136619,107.7207028
39,99.2192304,114.4756053,99.92323151,89.13010959,97.06291116,87.98768933,61.15567443,100.640906,98.98311213,103.560931,115.5553174,101.4079819,102.8568868,95.75423318,109.6955858,92.34044231,104.3587317
40,99.6124246,118.1321564,100.38975,89.1052711,96.73081422,88.56185734,60.61402376,100.2753135,99.38328176,103.281841,115.4666461,101.3495425,103.3561353,96.40745772,108.9388579,92.16406369,106.085418
41,100.0056188,121.7887075,100.8562684,89.08043261,96.39871728,89.13602535,60.0723731,99.90972101,99.78345139,103.002751,115.3779748,101.2911031,103.8553839,97.06068226,108.1821299,91.98768507,107.8121044
42,100.398813,125.4452586,101.3227869,89.05559413,96.06662035,89.71019336,59.53072243,99.54412849,100.183621,102.723661,115.2893035,101.2326637,104.3546325,97.7139068,107.425402,91.81130646,109.5387908
43,100.7920072,129.1018098,101.7893053,89.03075564,95.73452341,90.28436137,58.98907177,99.17853598,100.5837906,102.444571,115.2006322,101.1742243,104.8538811,98.36713134,106.668674,91.63492784,111.2654771
44,101.1852014,132.7583609,102.2558238,89.00591715,95.40242648,90.85852938,58.4474211,98.81294347,100.9839603,102.165481,115.1119609,101.1157849,105.3531297,99.02035588,105.9119461,91.45854923,112.9921635
45,102.2869137,135.7133982,102.4366923,89.03545415,96.78748508,92.18661244,59.87630942,100.1253281,101.6300565,103.4744913,116.4395275,102.3403923,106.3530074,99.48491628,106.187936,92.60118068,113.1397847
46,103.3886261,138.6684355,102.6175609,89.06499116,98.17254368,93.5146955,61.30519774,101.4377128,102.2761527,104.7835016,117.767094,103.5649997,107.352885,99.94947668,106.4639258,93.74381213,113.2874059
47,104.4903384,141.6234729,102.7984294,89.09452816,99.55760228,94.84277857,62.73408606,102.7500975,102.922249,106.0925119,119.0946606,104.7896071,108.3527627,100.4140371,106.7399157,94.88644358,113.4350272
48,105.5920508,144.5785102,102.979298,89.12406516,100.9426609,96.17086163,64.16297437,104.0624821,103.5683452,107.4015222,120.4222271,106.0142145,109.3526404,100.8785975,107.0159055,96.02907503,113.5826484
49,104.373775,137.5211753,102.7587564,89.18296327,100.600898,95.94298686,66.99854744,103.0886268,103.3413002,106.5516221,119.4196575,106.6689191,108.5762543,99.88596594,107.5349327,95.53717689,113.8367244
50,103.1554992,130.4638404,102.5382148,89.24186138,100.259135,95.71511209,69.83412051,102.1147714,103.1142551,105.7017221,118.4170879,107.3236237,107.7998681,98.8933344,108.0539599,95.04527874,114.0908004
51,101.9372235,123.4065055,102.3176732,89.30075948,99.91737208,95.48723731,72.66969357,101.1409161,102.88721,104.8518221,117.4145183,107.9783283,107.0234819,97.90070286,108.5729871,94.55338059,114.3448764
52,100.7189477,116.3491706,102.0971316,89.35965759,99.57560914,95.25936254,75.50526664,100.1670607,102.660165,104.0019221,116.4119487,108.6330329,106.2470958,96.90807132,109.0920142,94.06148245,114.5989524
53,99.50067192,109.2918357,101.87659,89.41855569,99.2338462,95.03148777,78.3408397,99.19320534,102.4331199,103.1520221,115.4093791,109.2877374,105.4707096,95.91543978,109.6110414,93.5695843,114.8530284
1,101.6009375,109.9701109,102.0089749,89.45900075,99.90951337,95.76228516,75.80186932,100.0864998,102.46727,103.2786389,114.8650115,109.1072617,107.2351823,97.23451074,107.326128,94.06581721,117.0306715
2,103.701203,110.648386,102.1413598,89.4994458,100.5851805,96.49308255,73.26289894,100.9797942,102.50142,103.4052557,114.3206439,108.926786,108.9996549,98.55358169,105.0412146,94.56205012,119.2083146
3,105.8014686,111.3266612,102.2737447,89.53989086,101.2608477,97.22387994,70.72392856,101.8730886,102.53557,103.5318725,113.7762763,108.7463102,110.7641276,99.87265264,102.7563012,95.05828303,121.3859576
4,107.9017341,112.0049363,102.4061296,89.58033591,101.9365149,97.95467734,68.18495818,102.7663831,102.5697201,103.6584893,113.2319087,108.5658345,112.5286003,101.1917236,100.4713878,95.55451595,123.5636007
5,107.2613822,111.1683515,102.3618298,89.66044309,102.1716078,97.45548432,67.02246861,103.7010566,102.8696016,103.5088599,113.5276408,107.8396174,112.0328946,100.6639363,99.80786134,95.6774671,121.335745
6,106.6210302,110.3317666,102.31753,89.74055027,102.4067008,96.9562913,65.85997905,104.6357301,103.1694831,103.3592306,113.8233729,107.1134004,111.5371889,100.136149,99.14433489,95.80041825,119.1078893
7,105.9806783,109.4951817,102.2732301,89.82065745,102.6417937,96.45709828,64.69748948,105.5704036,103.4693646,103.2096012,114.119105,106.3871833,111.0414832,99.60836171,98.48080844,95.92336941,116.8800336
8,105.3403263,108.6585969,102.2289303,89.90076463,102.8768866,95.95790526,63.53499991,106.5050771,103.7692461,103.0599719,114.4148371,105.6609662,110.5457775,99.08057441,97.817282,96.04632056,114.652178
9,104.929532,107.992551,102.0574741,90.67762889,102.6555877,96.26883563,66.33999992,106.0046865,103.4793041,102.8245894,113.3060035,105.2255073,109.7345638,99.15129946,97.98518338,96.35044975,113.5250874
10,104.5187377,107.3265051,101.8860179,91.45449315,102.4342887,96.57976599,69.14499993,105.504296,103.1893621,102.589207,112.1971698,104.7900483,108.9233502,99.2220245,98.15308477,96.65457894,112.3979967
11,104.1079433,106.6604591,101.7145618,92.23135741,102.2129897,96.89069636,71.94999993,105.0039054,102.8994201,102.3538245,111.0883362,104.3545894,108.1121365,99.29274955,98.32098615,96.95870813,111.2709061
12,103.697149,105.9944132,101.5431056,93.00822167,101.9916907,97.20162672,74.75499994,104.5035149,102.6094781,102.1184421,109.9795026,103.9191305,107.3009229,99.36347459,98.48888754,97.26283731,110.1438155
13,103.2863547,105.3283673,101.3716494,93.78508593,101.7703918,97.51255709,77.55999995,104.0031243,102.319536,101.8830596,108.870669,103.4836715,106.4897092,99.43419964,98.65678892,97.5669665,109.0167249
14,102.8755603,104.6623214,101.2001932,94.56195019,101.5490928,97.82348745,80.36499995,103.5027338,102.029594,101.6476772,107.7618354,103.0482126,105.6784956,99.50492468,98.82469031,97.87109569,107.8896343
15,102.464766,103.9962755,101.0287371,95.33881445,101.3277938,98.13441781,83.16999996,103.0023433,101.739652,101.4122947,106.6530017,102.6127536,104.8672819,99.57564973,98.99259169,98.17522488,106.7625437
16,102.0539717,103.3302296,100.8572809,96.1156787,101.1064949,98.44534818,85.97499997,102.5019527,101.44971,101.1769123,105.5441681,102.1772947,104.0560683,99.64637477,99.16049308,98.47935406,105.6354531
17,101.6431773,102.6641837,100.6858247,96.89254296,100.8851959,98.75627854,88.77999997,102.0015622,101.159768,100.9415298,104.4353345,101.7418358,103.2448546,99.71709982,99.32839446,98.78348325,104.5083625
18,101.232383,101.9981377,100.5143685,97.66940722,100.6638969,99.06720891,91.58499998,101.5011716,100.869826,100.7061474,103.3265009,101.3063768,102.433641,99.78782486,99.49629585,99.08761244,103.3812718
19,100.8215887,101.3320918,100.3429124,98.44627148,100.4425979,99.37813927,94.38999999,101.0007811,100.579884,100.4707649,102.2176672,100.8709179,101.6224273,99.85854991,99.66419723,99.39174163,102.2541812
20,100.4107943,100.6660459,100.1714562,99.22313574,100.221299,99.68906964,97.19499999,100.5003905,100.289942,100.2353825,101.1088336,100.4354589,100.8112137,99.92927495,99.83209862,99.69587081,101.1270906
21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
