"","Week","Piemonte","Aosta","Lombardia","Trentino","Veneto","Friuli","Liguria","Emilia","Toscana","Umbria","Marche","Lazio","Abruzzo","Molise","Campania","Puglia","Basilicata","Calabria","Sicilia","Sardegna"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,-0.13483,0.04207,-0.28296,-0.19244,-0.30054,-0.32883,-0.21938,-0.24938,-0.23217,-0.18554,-0.20122,-0.16977,-0.11372,-0.12263,-0.11846,-0.11726,-0.10102,-0.05633,-0.0504,-0.10448
"10",10,-0.109267142857143,-0.0413714285714286,-0.169361428571429,-0.0425114285714286,-0.0969742857142857,-0.0829971428571429,-0.0870442857142857,-0.124121428571429,-0.0884514285714286,-0.0921414285714286,-0.121347142857143,-0.0906471428571429,-0.0771785714285714,-0.0975371428571429,-0.102625714285714,-0.0913814285714286,-0.0934285714285714,-0.0930057142857143,-0.09055,-0.0707628571428571
"11",11,-0.449704285714286,-0.397628571428571,-0.492335714285714,-0.374435714285714,-0.41539,-0.401484285714286,-0.43601,-0.419691428571429,-0.441802857142857,-0.418637142857143,-0.447325714285714,-0.478597142857143,-0.456702857142857,-0.406587142857143,-0.485842857142857,-0.431322857142857,-0.399827142857143,-0.443741428571429,-0.449911428571429,-0.437688571428571
"12",12,-0.604127142857143,-0.570965714285714,-0.640957142857143,-0.588287142857143,-0.594442857142857,-0.584332857142857,-0.601368571428571,-0.580507142857143,-0.603854285714286,-0.59447,-0.621157142857143,-0.652668571428571,-0.627061428571429,-0.570462857142857,-0.660322857142857,-0.601677142857143,-0.569147142857143,-0.623122857142857,-0.632364285714286,-0.600607142857143
"13",13,-0.671597142857143,-0.639684285714286,-0.70163,-0.636314285714286,-0.65669,-0.64421,-0.658424285714286,-0.657615714285714,-0.670911428571429,-0.658575714285714,-0.697057142857143,-0.694344285714286,-0.691928571428571,-0.648411428571429,-0.698981428571429,-0.655715714285714,-0.635804285714286,-0.665561428571429,-0.671381428571429,-0.634641428571429
"14",14,-0.664872857142857,-0.636087142857143,-0.695827142857143,-0.637375714285714,-0.658374285714286,-0.64766,-0.64497,-0.649937142857143,-0.659254285714286,-0.641355714285714,-0.682762857142857,-0.6757,-0.66963,-0.624375714285714,-0.679354285714286,-0.636387142857143,-0.617501428571429,-0.641857142857143,-0.64965,-0.617707142857143
"15",15,-0.639872857142857,-0.621667142857143,-0.672835714285714,-0.615387142857143,-0.629801428571429,-0.620328571428571,-0.624911428571429,-0.623032857142857,-0.637482857142857,-0.612015714285714,-0.655795714285714,-0.656675714285714,-0.642764285714286,-0.592952857142857,-0.661161428571429,-0.615697142857143,-0.590012857142857,-0.614507142857143,-0.629511428571429,-0.594868571428571
"16",16,-0.649218571428571,-0.615444285714286,-0.674508571428571,-0.59587,-0.625257142857143,-0.619261428571429,-0.629338571428571,-0.630155714285714,-0.645868571428571,-0.620114285714286,-0.66511,-0.668655714285714,-0.65531,-0.598988571428571,-0.675251428571429,-0.622344285714286,-0.586652857142857,-0.622651428571429,-0.63692,-0.621367142857143
"17",17,-0.622402857142857,-0.580455714285714,-0.637608571428571,-0.521297142857143,-0.569991428571429,-0.564917142857143,-0.59226,-0.59345,-0.616408571428571,-0.596492857142857,-0.636934285714286,-0.644725714285714,-0.632407142857143,-0.581944285714286,-0.649387142857143,-0.605315714285714,-0.57021,-0.601941428571429,-0.610914285714286,-0.603897142857143
"18",18,-0.608671428571429,-0.575442857142857,-0.629787142857143,-0.48064,-0.52044,-0.505407142857143,-0.541721428571429,-0.579505714285714,-0.566382857142857,-0.578448571428571,-0.615664285714286,-0.617881428571429,-0.581131428571429,-0.544035714285714,-0.610651428571429,-0.55545,-0.532425714285714,-0.558898571428571,-0.578237142857143,-0.572191428571429
"19",19,-0.371872857142857,-0.342068571428571,-0.388292857142857,-0.284578571428571,-0.304788571428571,-0.300214285714286,-0.355084285714286,-0.31897,-0.346948571428571,-0.336328571428571,-0.352855714285714,-0.413558571428571,-0.3519,-0.342312857142857,-0.387477142857143,-0.339722857142857,-0.346634285714286,-0.344162857142857,-0.348057142857143,-0.349051428571429
"20",20,-0.369951428571429,-0.306928571428571,-0.38001,-0.249764285714286,-0.290872857142857,-0.310151428571429,-0.345545714285714,-0.290008571428571,-0.327487142857143,-0.31229,-0.308008571428571,-0.379744285714286,-0.308745714285714,-0.316087142857143,-0.337702857142857,-0.289792857142857,-0.295137142857143,-0.29865,-0.302384285714286,-0.296628571428571
"21",21,-0.209547142857143,-0.177341428571429,-0.226924285714286,-0.1463,-0.154588571428571,-0.156965714285714,-0.20463,-0.171885714285714,-0.200172857142857,-0.201888571428571,-0.202141428571429,-0.246714285714286,-0.196995714285714,-0.223867142857143,-0.21245,-0.162382857142857,-0.220251428571429,-0.194424285714286,-0.178221428571429,-0.185111428571429
"22",22,-0.162497142857143,-0.139995714285714,-0.177604285714286,-0.117125714285714,-0.114177142857143,-0.124302857142857,-0.152974285714286,-0.125888571428571,-0.147857142857143,-0.16243,-0.157954285714286,-0.212617142857143,-0.166622857142857,-0.206314285714286,-0.164662857142857,-0.150151428571429,-0.200072857142857,-0.153928571428571,-0.134,-0.110937142857143
"23",23,-0.162624285714286,-0.121218571428571,-0.191208571428571,-0.125434285714286,-0.116165714285714,-0.13095,-0.150921428571429,-0.109245714285714,-0.126732857142857,-0.10953,-0.0887671428571429,-0.162884285714286,-0.100877142857143,-0.12748,-0.106317142857143,-0.0763685714285714,-0.14292,-0.122474285714286,-0.0971857142857143,-0.108394285714286
"24",24,-0.13778,-0.0894385714285714,-0.13927,-0.0750671428571429,-0.0753257142857143,-0.0861014285714286,-0.0959342857142857,-0.0804957142857143,-0.110815714285714,-0.105912857142857,-0.0962114285714286,-0.14284,-0.0801,-0.0569614285714286,-0.0677371428571429,-0.0278171428571429,-0.0745685714285714,-0.0626871428571429,-0.0504214285714286,-0.0872057142857143
"25",25,-0.0650985714285714,-0.000635714285714287,-0.0799357142857143,-0.0137957142857143,-0.0260842857142857,-0.0360857142857143,-0.0297314285714286,-0.0280228571428571,-0.0472071428571429,-0.0476,-0.0389957142857143,-0.0948042857142857,-0.0532942857142857,-0.05036,-0.0455171428571429,-0.0134157142857143,-0.06205,-0.0496914285714286,-0.0261871428571429,-0.0378514285714286
"26",26,-0.0478728571428571,0.0346285714285714,-0.0569371428571429,0.0230142857142857,1.28571428571432e-05,0.01386,0.00647428571428571,-0.00922571428571429,-0.0227628571428571,-0.00146714285714286,0.00316142857142857,-0.0679,-0.0102785714285714,-0.0120185714285714,-0.0242114285714286,0.0326028571428571,-0.0150371428571429,-0.0190728571428571,0.00370285714285714,0.00117571428571429
"27",27,-0.0386528571428571,0.0380042857142857,-0.0531857142857143,0.0184871428571429,-0.0100185714285714,0.00785285714285714,0.00338857142857143,-0.0171,-0.0166642857142857,0.00605,0.00601142857142857,-0.0717928571428571,-0.0117157142857143,-0.00530857142857143,-0.0183014285714286,0.0365085714285714,-0.0166285714285714,-0.0138742857142857,0.0116442857142857,0.00239857142857143
"28",28,-0.0276385714285714,0.0662985714285714,-0.0378042857142857,0.0435071428571429,-0.000387142857142858,0.0183314285714286,0.0248685714285714,-0.00926,-0.00583857142857143,0.0193642857142857,0.0241728571428571,-0.0543485714285714,0.0104357142857143,0.01133,-0.00741285714285714,0.0660714285714286,0.0111,4.28571428571417e-05,0.0314485714285714,0.0278928571428571
"29",29,-0.0121071428571429,0.100665714285714,-0.0168657142857143,0.0808914285714286,0.0211685714285714,0.0396742857142857,0.0289442857142857,0.0157828571428571,0.00849714285714286,0.02314,0.0285428571428571,-0.0403557142857143,0.0139342857142857,0.00827,-0.000407142857142857,0.0567671428571429,0.0111557142857143,0.00222142857142857,0.0157757142857143,0.0355528571428571
"30",30,-0.0135371428571429,0.0946714285714286,-0.0253014285714286,0.0736014285714286,0.00709,0.02937,0.0162257142857143,0.000260000000000001,0.00596,0.0267728571428571,0.0265142857142857,-0.03891,0.0210342857142857,0.0284942857142857,0.00216428571428571,0.0777471428571429,0.0286614285714286,0.0186085714285714,0.0500428571428571,0.0480014285714286
"31",31,-0.0154,0.0927242857142857,-0.02731,0.0734685714285714,-0.00783714285714286,0.0221485714285714,0.02152,-0.00153285714285714,0.00258285714285714,0.0166057142857143,0.0315285714285714,-0.0367857142857143,0.0236757142857143,0.04221,0.00492428571428571,0.0900442857142857,0.0299128571428571,0.0330728571428571,0.0651328571428571,0.0586042857142857
"32",32,-0.00609714285714286,0.108597142857143,-0.0222385714285714,0.0891742857142857,0.00193285714285714,0.0191614285714286,0.00706857142857143,0.00145714285714286,0.0154557142857143,0.0346157142857143,0.0158228571428571,-0.02804,0.00798428571428571,0.0370271428571429,0.00581285714285714,0.0687257142857143,0.0144242857142857,0.0176957142857143,0.0599971428571429,0.0723414285714286
"33",33,-0.0656985714285714,0.108208571428571,-0.0706857142857143,0.11596,-0.0150428571428571,0.00812285714285714,-0.00677428571428571,-0.03559,-0.00654142857142857,0.0251042857142857,0.0324114285714286,-0.0694742857142857,0.00479571428571429,0.0308742857142857,0.00806428571428571,0.118848571428571,0.0297771428571429,0.0382185714285714,0.0570714285714286,0.08038
"34",34,-0.0803357142857143,0.133248571428571,-0.0898114285714286,0.145307142857143,-0.02461,7.2857142857143e-05,-0.0222942857142857,-0.0429985714285714,-0.0160628571428571,0.0352414285714286,0.0306842857142857,-0.0915842857142857,0.0191857142857143,0.04656,-0.00343714285714286,0.130458571428571,0.0582571428571429,0.0803471428571429,0.07076,0.0652485714285714
"35",35,-0.0829871428571429,0.0806114285714286,-0.110102857142857,0.0617685714285714,-0.05961,-0.0345142857142857,-0.0444742857142857,-0.0390971428571429,-0.0342557142857143,0.0126928571428571,0.00910285714285714,-0.103474285714286,0.009,0.0453357142857143,-0.0276871428571429,0.0911757142857143,0.0511371428571429,0.0664114285714286,0.0408571428571429,0.0293928571428571
"36",36,-0.0261671428571429,0.110088571428571,-0.0378257142857143,0.07503,-6.7142857142857e-05,0.00669714285714286,-0.000454285714285713,-0.00350285714285714,-0.00850285714285714,0.00590857142857143,0.00780857142857143,-0.0720371428571429,0.00236,0.0210914285714286,-0.01301,0.0604614285714286,0.0252228571428571,0.0310671428571429,0.0141871428571429,0.00886714285714286
"37",37,-0.0261314285714286,0.0952228571428571,-0.0314385714285714,0.0578957142857143,0.0167871428571429,0.0190357142857143,-0.00541857142857143,0.00953857142857143,0.00190142857142857,0.00904428571428571,0.0198357142857143,-0.0526757142857143,0.00439142857142857,0.0321414285714286,-0.0123771428571429,0.0356428571428571,0.00807428571428571,-0.00254,-0.0223457142857143,-0.0317285714285714
"38",38,-0.0154014285714286,0.07583,-0.0172285714285714,0.0424742857142857,0.0350142857142857,0.0364757142857143,-0.00167,0.0244042857142857,0.00735571428571429,0.0149928571428571,0.0268828571428571,-0.0437957142857143,0.00270714285714286,0.0216028571428571,-0.01895,0.0166585714285714,0.00117285714285714,-0.01552,-0.0191685714285714,-0.0133057142857143
"39",39,-0.0424314285714286,0.0233457142857143,-0.0530485714285714,-0.0438357142857143,-0.0222957142857143,-0.0200014285714286,-0.0433271428571429,-0.0198357142857143,-0.0479,-0.0538242857142857,-0.0499271428571429,-0.113935714285714,-0.0414314285714286,-0.0197657142857143,-0.0801042857142857,-0.0180314285714286,-0.0317514285714286,-0.0344014285714286,-0.0365042857142857,-0.0641742857142857
"40",40,-0.0525457142857143,0.00597,-0.0598957142857143,-0.0724657142857143,-0.03665,-0.0437614285714286,-0.0790685714285714,-0.0141614285714286,-0.04593,-0.0221185714285714,-0.0173728571428571,-0.0752157142857143,-0.0108071428571429,-0.000515714285714286,-0.0373257142857143,-0.00374571428571429,-0.0188971428571429,-0.00210571428571429,-0.00813,-0.0368128571428571
"41",41,-0.0451014285714286,0.0142114285714286,-0.0522871428571429,-0.0518485714285714,-0.0421314285714286,-0.04824,-0.0535057142857143,-0.0311857142857143,-0.0625442857142857,-0.0403985714285714,-0.0410471428571429,-0.09119,-0.0493328571428571,-0.0314857142857143,-0.0632871428571428,-0.0202714285714286,-0.0304185714285714,-0.0136614285714286,-0.0234514285714286,-0.0453485714285714
"42",42,-0.0685914285714286,-0.0348114285714286,-0.0739528571428571,-0.03553,-0.0319657142857143,-0.0368328571428571,-0.0716742857142857,-0.03234,-0.0664314285714286,-0.0679071428571429,-0.0590571428571429,-0.116262857142857,-0.0825257142857143,-0.0636028571428571,-0.13591,-0.0616885714285714,-0.0764714285714286,-0.0691085714285714,-0.0783885714285714,-0.0904728571428571
"43",43,-0.12114,-0.08037,-0.139058571428571,-0.0628828571428571,-0.0546271428571429,-0.0548428571428571,-0.121708571428571,-0.0596014285714286,-0.102262857142857,-0.1112,-0.08211,-0.137554285714286,-0.0927842857142857,-0.07098,-0.174981428571429,-0.0661628571428571,-0.08602,-0.0787414285714286,-0.0887085714285714,-0.0919757142857143
"44",44,-0.152734285714286,-0.111538571428571,-0.17551,-0.118048571428571,-0.10066,-0.0963042857142857,-0.164202857142857,-0.0942342857142857,-0.148377142857143,-0.149608571428571,-0.10569,-0.16794,-0.123338571428571,-0.109371428571429,-0.228475714285714,-0.11179,-0.123561428571429,-0.134065714285714,-0.130961428571429,-0.12961
"45",45,-0.273781428571429,-0.238201428571429,-0.284272857142857,-0.174511428571429,-0.123731428571429,-0.120932857142857,-0.17431,-0.133222857142857,-0.166962857142857,-0.1803,-0.14554,-0.186822857142857,-0.158058571428571,-0.1427,-0.238177142857143,-0.194975714285714,-0.16474,-0.237665714285714,-0.198342857142857,-0.139895714285714
"46",46,-0.361517142857143,-0.304034285714286,-0.369822857142857,-0.224982857142857,-0.15608,-0.165714285714286,-0.24113,-0.180375714285714,-0.268772857142857,-0.245812857142857,-0.181694285714286,-0.208255714285714,-0.25566,-0.165595714285714,-0.270425714285714,-0.247404285714286,-0.229718571428571,-0.33688,-0.247027142857143,-0.146928571428571
"47",47,-0.332834285714286,-0.302148571428571,-0.342174285714286,-0.242191428571429,-0.161805714285714,-0.272995714285714,-0.246291428571429,-0.26324,-0.364435714285714,-0.273768571428571,-0.300571428571429,-0.209235714285714,-0.363925714285714,-0.22984,-0.426914285714286,-0.27777,-0.296315714285714,-0.360467142857143,-0.276357142857143,-0.173152857142857
"48",48,-0.307154285714286,-0.294127142857143,-0.317805714285714,-0.226852857142857,-0.153211428571429,-0.256522857142857,-0.21593,-0.249231428571429,-0.315781428571429,-0.241092857142857,-0.277601428571429,-0.185354285714286,-0.332957142857143,-0.201271428571429,-0.347331428571429,-0.252932857142857,-0.26301,-0.30321,-0.257871428571429,-0.191764285714286
"49",49,-0.282457142857143,-0.263542857142857,-0.292814285714286,-0.234701428571429,-0.194457142857143,-0.265338571428571,-0.18901,-0.230431428571429,-0.318874285714286,-0.225342857142857,-0.23754,-0.2063,-0.308501428571429,-0.180598571428571,-0.318594285714286,-0.238367142857143,-0.250571428571429,-0.243202857142857,-0.190035714285714,-0.165068571428571
"50",50,-0.260934285714286,-0.249647142857143,-0.282272857142857,-0.211822857142857,-0.195681428571429,-0.198404285714286,-0.178828571428571,-0.178938571428571,-0.285228571428571,-0.186971428571429,-0.165075714285714,-0.200488571428571,-0.29089,-0.2025,-0.27425,-0.197417142857143,-0.249527142857143,-0.237294285714286,-0.19952,-0.195892857142857
"51",51,-0.114901428571429,-0.141864285714286,-0.11684,-0.100185714285714,-0.12249,-0.0932928571428571,-0.108328571428571,-0.0786142857142857,-0.151752857142857,-0.08236,-0.0876157142857143,-0.0907385714285714,-0.17491,-0.09818,-0.163632857142857,-0.11627,-0.118761428571429,-0.117818571428571,-0.121712857142857,-0.0859728571428571
"52",52,-0.344804285714286,-0.32968,-0.354505714285714,-0.34274,-0.37836,-0.358937142857143,-0.335751428571429,-0.337368571428571,-0.322987142857143,-0.337452857142857,-0.354845714285714,-0.357985714285714,-0.358884285714286,-0.354524285714286,-0.345497142857143,-0.328651428571429,-0.344514285714286,-0.315811428571429,-0.31308,-0.3124
"53",53,-0.43224,-0.402514285714286,-0.459977142857143,-0.452884285714286,-0.463542857142857,-0.463284285714286,-0.425481428571429,-0.428842857142857,-0.427901428571429,-0.418438571428571,-0.41008,-0.45241,-0.380695714285714,-0.417301428571429,-0.37036,-0.352404285714286,-0.367697142857143,-0.341208571428571,-0.350314285714286,-0.418694285714286
"54",1,-0.335517142857143,-0.319605714285714,-0.336124285714286,-0.326197142857143,-0.355258571428571,-0.342097142857143,-0.322677142857143,-0.33167,-0.330247142857143,-0.326798571428571,-0.338068571428571,-0.360192857142857,-0.315738571428571,-0.339804285714286,-0.313284285714286,-0.298227142857143,-0.292645714285714,-0.275174285714286,-0.287321428571429,-0.329185714285714
"55",2,-0.188861428571429,-0.191761428571429,-0.236627142857143,-0.185105714285714,-0.238222857142857,-0.167677142857143,-0.163417142857143,-0.215131428571429,-0.149978571428571,-0.185427142857143,-0.194778571428571,-0.20055,-0.190598571428571,-0.213915714285714,-0.207424285714286,-0.206882857142857,-0.208802857142857,-0.238911428571429,-0.282594285714286,-0.188721428571429
"56",3,-0.225451428571429,-0.191407142857143,-0.282734285714286,-0.193181428571429,-0.23825,-0.257024285714286,-0.21513,-0.214481428571429,-0.169671428571429,-0.228297142857143,-0.241132857142857,-0.246165714285714,-0.215575714285714,-0.206187142857143,-0.210028571428571,-0.227372857142857,-0.206151428571429,-0.221548571428571,-0.356481428571429,-0.186944285714286
"57",4,-0.18836,-0.171781428571429,-0.199341428571429,-0.1626,-0.211061428571429,-0.217932857142857,-0.152181428571429,-0.189401428571429,-0.147112857142857,-0.206168571428571,-0.215547142857143,-0.201881428571429,-0.188424285714286,-0.17326,-0.154505714285714,-0.205062857142857,-0.173027142857143,-0.190644285714286,-0.302482857142857,-0.227962857142857
"58",5,-0.164217142857143,-0.15608,-0.166074285714286,-0.181948571428571,-0.1277,-0.145737142857143,-0.140397142857143,-0.11971,-0.145001428571429,-0.212855714285714,-0.129307142857143,-0.14573,-0.134935714285714,-0.169208571428571,-0.122022857142857,-0.17371,-0.13329,-0.12852,-0.176775714285714,-0.189225714285714
"59",6,-0.138921428571429,-0.134491428571429,-0.13321,-0.214237142857143,-0.0998785714285714,-0.129768571428571,-0.137744285714286,-0.11721,-0.174741428571429,-0.307854285714286,-0.171985714285714,-0.166904285714286,-0.229711428571429,-0.270375714285714,-0.176374285714286,-0.19537,-0.205552857142857,-0.161407142857143,-0.183531428571429,-0.133711428571429
"60",7,-0.139608571428571,-0.1097,-0.139618571428571,-0.244807142857143,-0.09365,-0.120607142857143,-0.156942857142857,-0.107968571428571,-0.193618571428571,-0.254325714285714,-0.113007142857143,-0.12039,-0.231097142857143,-0.231747142857143,-0.150265714285714,-0.125934285714286,-0.15416,-0.12865,-0.111714285714286,-0.10146
"61",8,-0.103624285714286,-0.0957314285714286,-0.122562857142857,-0.208688571428571,-0.0677428571428571,-0.0809214285714286,-0.140105714285714,-0.162525714285714,-0.174038571428571,-0.232764285714286,-0.133487142857143,-0.119334285714286,-0.218614285714286,-0.240782857142857,-0.179708571428571,-0.11797,-0.108081428571429,-0.09046,-0.0847414285714286,-0.0948157142857143
"62",9,-0.203178571428571,-0.108527142857143,-0.226325714285714,-0.193925714285714,-0.06975,-0.110475714285714,-0.0950285714285714,-0.214402857142857,-0.183761428571429,-0.218717142857143,-0.245778571428571,-0.155055714285714,-0.235474285714286,-0.328881428571429,-0.185481428571429,-0.125294285714286,-0.275535714285714,-0.0980557142857143,-0.0986785714285714,-0.0914628571428571
"63",10,-0.206154285714286,-0.110428571428571,-0.23827,-0.189822857142857,-0.174485714285714,-0.201122857142857,-0.10297,-0.259281428571429,-0.206041428571429,-0.227128571428571,-0.317521428571429,-0.159724285714286,-0.265582857142857,-0.342188571428571,-0.335368571428571,-0.13769,-0.278365714285714,-0.127568571428571,-0.09699,-0.112572857142857
"64",11,-0.303991428571429,-0.146824285714286,-0.302824285714286,-0.257531428571429,-0.28264,-0.309974285714286,-0.160854285714286,-0.272114285714286,-0.220381428571429,-0.217012857142857,-0.319405714285714,-0.368127142857143,-0.264002857142857,-0.33322,-0.313648571428571,-0.360884285714286,-0.267584285714286,-0.21846,-0.213108571428571,-0.125135714285714
"65",12,-0.259187142857143,-0.13951,-0.260172857142857,-0.19645,-0.235737142857143,-0.270445714285714,-0.14705,-0.226991428571429,-0.202664285714286,-0.178498571428571,-0.275965714285714,-0.312035714285714,-0.21141,-0.238848571428571,-0.267628571428571,-0.312522857142857,-0.202765714285714,-0.16067,-0.158324285714286,-0.16206
"66",13,-0.234418571428571,-0.210265714285714,-0.239554285714286,-0.175735714285714,-0.218508571428571,-0.23346,-0.178768571428571,-0.210512857142857,-0.251567142857143,-0.18882,-0.252631428571429,-0.232908571428571,-0.19725,-0.207842857142857,-0.224095714285714,-0.268774285714286,-0.193525714285714,-0.238175714285714,-0.16597,-0.181295714285714
"67",14,-0.294408571428571,-0.255112857142857,-0.297537142857143,-0.216728571428571,-0.238535714285714,-0.30232,-0.257957142857143,-0.27499,-0.306921428571429,-0.231752857142857,-0.244395714285714,-0.26119,-0.220104285714286,-0.227624285714286,-0.257352857142857,-0.285041428571429,-0.213962857142857,-0.244295714285714,-0.233171428571429,-0.231475714285714
"68",15,-0.177558571428571,-0.174951428571429,-0.172358571428571,-0.120007142857143,-0.148685714285714,-0.160691428571429,-0.142157142857143,-0.156195714285714,-0.187835714285714,-0.148268571428571,-0.17243,-0.185378571428571,-0.163008571428571,-0.162657142857143,-0.205422857142857,-0.234411428571429,-0.170728571428571,-0.161008571428571,-0.198215714285714,-0.310731428571429
"69",16,-0.124345714285714,-0.133237142857143,-0.127222857142857,-0.0638057142857143,-0.09983,-0.113312857142857,-0.0960928571428571,-0.0983828571428571,-0.127607142857143,-0.108798571428571,-0.128121428571429,-0.148857142857143,-0.122237142857143,-0.141341428571429,-0.134907142857143,-0.218741428571429,-0.160881428571429,-0.15164,-0.180142857142857,-0.244127142857143
"70",17,-0.130757142857143,-0.125315714285714,-0.125447142857143,-0.0849814285714286,-0.0760371428571429,-0.0831142857142857,-0.0912514285714286,-0.0707514285714286,-0.10852,-0.0859885714285714,-0.0809714285714286,-0.125517142857143,-0.0678385714285714,-0.0750614285714286,-0.07418,-0.131052857142857,-0.117471428571429,-0.09811,-0.12196,-0.221927142857143
"71",18,-0.0485171428571429,-0.101821428571429,-0.0482142857142857,0.000650000000000001,-0.00578142857142857,-0.0183042857142857,-0.01968,-0.0104357142857143,-0.0386157142857143,-0.0214828571428571,-0.0273128571428571,-0.0656671428571429,-0.0193214285714286,-0.0320142857142857,-0.0276828571428571,-0.0810271428571429,-0.0846442857142857,-0.0621614285714286,-0.0693714285714286,-0.0936928571428571
"72",19,-0.0785275,-0.02815,-0.0720825,0.0081675,-0.0213675,-0.0142425,-0.0325325,-0.01922,-0.0573825,-0.022025,-0.025405,-0.06401,-0.0197975,-0.0270975,-0.04006,-0.03702,-0.0408525,-0.035665,-0.0352725,-0.0803775
